"Technical Debt Item: Technical Debt Number","Component Name","Severity","Date Identified","Assigned Admin"
"TDI-0007","Resident Activity Report","Low","","Eric Price"
"TDI-0005","Contact Email Validation","High","","Eric Price"
"TDI-0004","Resident Intake Flow","Critical","","Eric Price"
"TDI-0012","Contact Page Layout","Low","",""
"TDI-0011","Resident Portal Login Page","High","",""
"TDI-0010","Occupancy Dashboard","Medium","",""
"TDI-0009","Resident Record Page","Critical","",""
"TDI-0013","Maintenance Request Flow","Medium","",""
"TDI-0008","Resident Record Page","High","",""
"TDI-0006","Mobility Leve","Medium","6/8/2026","Eric Price"
